Getting apps in org BSD-ORION-STG / space VMS as ssaleh932...
OK

name                                                                                 requested state   instances   memory   disk    urls
switchprovisioningrequest-stg-generic#VMSTemplateService_VMS_B2_R0a1aee              started           1/1         3G       1000M   switchprovisioningrequest-stg.g5.app.cloud.comcast.net
tninventoryprovisioning-stg-generic#VMSTemplateService_VMS_B2_R683c55                started           1/1         3G       1000M   tninventoryprovisioning-stg.g5.app.cloud.comcast.net
importexport-stg-generic#VMSTemplateService_VMS_B2_R6d7e33                           started           1/1         2G       1000M   importexport-service-stg.g5.app.cloud.comcast.net
vmsuigateway-stg-generic#VMSTemplateService_VMS_B2_R4f22d2                           started           1/1         1G       1000M   vmsuigateway-stg.g5.app.cloud.comcast.net
pdf-stg-generic#VMSTemplateService_VMS_B2_R740e8b                                    started           1/1         3G       1000M   pdf-service-stg.g5.app.cloud.comcast.net
tnactivationprovisioning-stg-generic#VMSTemplateService_VMS_B2_R85315e               started           1/1         3G       1000M   tnactivationprovisioning-stg.g5.app.cloud.comcast.net
switchprovisioningresponse-stg-generic#VMSTemplateService_VMS_B2_R4274da             started           1/1         3G       1000M   switchprovisioningresponse-stg.g5.app.cloud.comcast.net
vmsinfoprovisioning-stg-generic#VMSTemplateService_VMS_B2_R05edb2                    started           1/1         3G       1000M   vmsinfoprovisioning-stg.g5.app.cloud.comcast.net
vmsregistry-service-stg-generic#VMSTemplateService_VMS_B2_Rd02907                    started           1/1         1G       1000M   vmsregistry-service-stg.g5.app.cloud.comcast.net
cnamprovisioningrequest-stg-generic#VMSTemplateService_VMS_B2_Rd6ee8b                started           1/1         2G       1000M   cnamprovisioningrequest-stg.g5.app.cloud.comcast.net
vmsproduct-stg-generic#VMSTemplateService_VMS_B2_Redc4ed                             started           1/1         3G       1000M   vmsproduct-stg.g5.app.cloud.comcast.net
vms-configservice-stg-generic#VMSTemplateService_VMS_B2_R3170b5                      started           1/1         1G       1000M   vms-configservice-stg.g5.app.cloud.comcast.net
vmsinfo-service-stg-generic#VMSTemplateService_VMS_B2_Rcb8b28                        started           1/1         3G       1000M   vmsinfo-service-stg.g5.app.cloud.comcast.net
vmsprovisioning-stg-generic#VMSTemplateService_VMS_B2_R346a2f                        started           1/1         3G       1000M   vmsprovisioning-stg.g5.app.cloud.comcast.net
vmsinventory-stg-generic#VMSTemplateService_VMS_B2_R0d7bf5                           stopped           0/1         2G       1000M   vmsinventory-stg.g5.app.cloud.comcast.net
vmscompletedesign-stg-generic#VMSTemplateService_VMS_B2_R81c623                      started           1/1         3G       1000M   vmscompletedesign-stg.g5.app.cloud.comcast.net
servicedesign-stg-generic#VMSTemplateService_VMS_B2_Rb6c9d8                          stopped           0/1         2G       1000M   servicedesign-stg.g5.app.cloud.comcast.net
